id_venta,fecha,id_cliente,id_producto,id_agente,zona,cantidad,precio_unitario,descuento_pct,monto_total,tipo_pago,estado
VT000020,2023-09-18,CL0406,PR011,AG008,NOA,5,113620.08,0.05,568100.41,Tarjeta de crédito,Completada
VT000021,2024-05-01,CL0455,PR030,AG003,AMBA,2,4699.48,0.0,9398.95,Transferencia,Completada
VT000022,2023-05-11,CL0047,PR017,AG011,Patagonia,3,3151.15,0.0,9453.45,Cheque,Completada
VT000023,2023-09-18,CL0080,PR017,AG001,AMBA,2,3125.72,0.0,6251.44,Tarjeta de crédito,Completada
VT000024,2023-11-08,CL0115,PR024,AG009,NOA,3,44117.88,0.0,132353.64,Transferencia,Completada
VT000025,2023-12-27,CL0254,PR026,AG001,AMBA,20,18382.5,0.15,367650.04,Efectivo,Completada
VT000026,2024-09-05,CL0396,PR018,AG012,Patagonia,2,2711.34,0.0,5422.68,Transferencia,Completada
VT000027,2023-06-28,CL0044,PR008,AG003,AMBA,1,146052.1,0.0,146052.1,Tarjeta de crédito,Completada
VT000028,2024-02-14,CL0320,PR027,AG007,Centro,5,7864.87,0.05,39324.33,Transferencia,Completada
VT000029,2024-04-17,CL0079,PR013,AG005,Centro,3,361690.39,0.0,1085071.18,Transferencia,Completada
VT000030,2023-02-17,CL0484,PR007,AG003,AMBA,1,35887.39,0.0,35887.39,Transferencia,Completada
VT000031,2024-04-29,CL0450,PR022,AG007,Centro,2,252253.32,0.0,504506.64,Transferencia,Completada
VT000032,2023-06-06,CL0476,PR004,AG014,Cuyo,1,94439.19,0.0,94439.19,Transferencia,Completada
VT000033,2023-03-08,CL0060,PR030,AG001,AMBA,5,4186.64,0.05,20933.22,Tarjeta de crédito,Completada
VT000034,2024-12-09,CL0244,PR022,AG013,Cuyo,1,241519.61,0.0,241519.61,Tarjeta de crédito,Completada
VT000035,2024-12-16,CL0086,PR030,AG006,Centro,3,4313.93,0.0,12941.8,Tarjeta de crédito,Completada
VT000036,2024-09-23,CL0304,PR014,AG010,NEA,1,74051.1,0.0,74051.1,Transferencia,Completada
VT000037,2023-09-27,CL0117,PR030,AG004,AMBA,2,4320.61,0.0,8641.22,Transferencia,Completada
VT000038,2023-04-06,CL0384,PR006,AG005,Centro,1,12438.1,0.0,12438.1,Transferencia,Completada
VT000039,2024-06-20,CL0323,PR002,AG012,Patagonia,1,272630.44,0.0,272630.44,Efectivo,Completada
VT000040,2023-12-19,CL0287,PR002,AG004,AMBA,1,290132.84,0.0,290132.84,Efectivo,Completada
VT000041,2023-04-26,CL0413,PR018,AG005,Centro,3,2696.62,0.0,8089.86,Transferencia,Completada
VT000042,2024-01-29,CL0253,PR003,AG001,AMBA,2,173778.64,0.0,347557.28,Transferencia,Completada
VT000043,2023-02-06,CL0136,PR019,AG002,AMBA,1,4390.06,0.0,4390.06,Transferencia,Completada
VT000044,2024-11-20,CL0314,PR013,AG007,Centro,1,353674.91,0.0,353674.91,Tarjeta de crédito,Completada
VT000045,2023-08-21,CL0478,PR014,AG008,NOA,1,76680.48,0.0,76680.48,Efectivo,Completada
VT000046,2024-06-06,CL0305,PR022,AG006,Centro,1,247975.15,0.0,247975.15,Efectivo,Completada
VT000047,2023-10-03,CL0317,PR006,AG001,AMBA,1,11921.38,0.0,11921.38,Efectivo,Completada
VT000048,2024-02-20,CL0468,PR026,AG004,AMBA,1,22397.54,0.0,22397.54,Transferencia,Completada
VT000049,2024-03-13,CL0258,PR020,AG003,AMBA,20,5060.24,0.15,101204.74,Transferencia,Completada
VT000050,2023-06-16,CL0498,PR029,AG005,Centro,3,3341.02,0.0,10023.06,Tarjeta de crédito,Completada
VT000051,2024-12-18,CL0083,PR016,AG012,Patagonia,10,7978.28,0.1,79782.78,Cheque,Completada
VT000052,2024-08-29,CL0271,PR030,AG009,NOA,10,3890.57,0.1,38905.7,Tarjeta de crédito,Completada
VT000053,2024-12-04,CL0107,PR020,AG001,AMBA,10,5142.94,0.1,51429.36,Cheque,Completada
VT000054,2024-11-12,CL0226,PR030,AG012,Patagonia,3,4500.28,0.0,13500.84,Transferencia,Completada
VT000055,2024-04-19,CL0087,PR001,AG005,Centro,2,461288.66,0.0,922577.33,Tarjeta de crédito,Completada
VT000056,2024-11-26,CL0111,PR026,AG009,NOA,5,21668.91,0.05,108344.56,Tarjeta de crédito,Completada
VT000057,2023-03-29,CL0106,PR027,AG001,AMBA,3,8738.21,0.0,26214.64,Transferencia,Completada
VT000058,2023-06-26,CL0164,PR002,AG007,Centro,1,278447.3,0.0,278447.3,Tarjeta de crédito,Completada
VT000059,2023-02-16,CL0072,PR020,AG002,AMBA,1,6249.19,0.0,6249.19,Transferencia,Completada
VT000060,2023-10-12,CL0404,PR027,AG004,AMBA,20,6924.4,0.15,138487.92,Tarjeta de crédito,Completada
VT000061,2023-11-21,CL0110,PR020,AG001,AMBA,3,5895.08,0.0,17685.25,Efectivo,Completada
VT000062,2023-08-31,CL0206,PR003,AG002,AMBA,1,179112.6,0.0,179112.6,Transferencia,Completada
VT000063,2024-10-07,CL0010,PR025,AG001,AMBA,1,27106.16,0.0,27106.16,Cheque,Completada
VT000064,2023-11-02,CL0060,PR003,AG002,AMBA,1,171337.61,0.0,171337.61,Cheque,Completada
VT000065,2023-09-07,CL0448,PR027,AG001,AMBA,3,8346.08,0.0,25038.24,Transferencia,Completada
VT000066,2024-03-08,CL0421,PR002,AG008,NOA,2,282800.18,0.0,565600.36,Tarjeta de crédito,Completada
VT000067,2023-05-11,CL0424,PR005,AG001,AMBA,2,24036.06,0.0,48072.13,Transferencia,Completada
VT000068,2024-09-18,CL0203,PR010,AG007,Centro,1,18894.01,0.0,18894.01,Tarjeta de crédito,Completada
VT000069,2023-03-16,CL0076,PR022,AG001,AMBA,1,246471.63,0.0,246471.63,Transferencia,Completada
VT000070,2024-12-25,CL0061,PR030,AG014,Cuyo,10,3860.9,0.1,38608.95,Cheque,Completada
VT000071,2024-08-27,CL0306,PR005,AG013,Cuyo,1,24275.64,0.0,24275.64,Transferencia,Completada
VT000072,2023-06-28,CL0415,PR005,AG002,AMBA,1,24249.44,0.0,24249.44,Transferencia,Completada
VT000073,2023-01-06,CL0450,PR016,AG006,Centro,1,8429.04,0.0,8429.04,Transferencia,Completada
VT000074,2024-09-27,CL0146,PR028,AG001,AMBA,5,11915.23,0.05,59576.14,Transferencia,Completada
VT000075,2024-07-08,CL0164,PR018,AG013,Cuyo,5,2630.43,0.05,13152.15,Cheque,Completada
VT000076,2024-07-25,CL0058,PR013,AG005,Centro,3,350182.84,0.0,1050548.52,Efectivo,Completada
VT000077,2024-08-27,CL0386,PR020,AG001,AMBA,3,5807.45,0.0,17422.36,Transferencia,Completada
VT000078,2023-03-15,CL0139,PR010,AG003,AMBA,2,18000.77,0.0,36001.53,Cheque,Completada
VT000079,2023-11-03,CL0241,PR016,AG001,AMBA,20,7443.13,0.15,148862.59,Cheque,Completada
VT000080,2023-04-21,CL0467,PR014,AG004,AMBA,1,76806.38,0.0,76806.38,Transferencia,Completada
VT000081,2024-10-25,CL0377,PR027,AG007,Centro,3,8142.89,0.0,24428.66,Cheque,Completada
VT000082,2024-05-09,CL0033,PR029,AG005,Centro,3,3628.01,0.0,10884.02,Tarjeta de crédito,Completada
VT000083,2023-10-17,CL0006,PR026,AG004,AMBA,10,19948.43,0.1,199484.34,Transferencia,Completada
VT000084,2023-03-07,CL0394,PR017,AG001,AMBA,3,3043.23,0.0,9129.7,Cheque,Completada
VT000085,2023-10-03,CL0277,PR018,AG002,AMBA,2,2937.15,0.0,5874.29,Tarjeta de crédito,Completada
VT000086,2023-10-12,CL0360,PR005,AG001,AMBA,2,25543.97,0.0,51087.94,Cheque,Completada
VT000087,2024-07-25,CL0081,PR026,AG010,NEA,5,21151.04,0.05,105755.18,Tarjeta de crédito,Completada
VT000088,2024-05-20,CL0439,PR020,AG001,AMBA,3,5972.17,0.0,17916.51,Cheque,Completada
VT000089,2024-11-08,CL0386,PR029,AG006,Centro,3,3629.8,0.0,10889.39,Transferencia,Completada
VT000090,2024-01-08,CL0447,PR008,AG003,AMBA,1,155104.38,0.0,155104.38,Transferencia,Completada
VT000091,2023-04-25,CL0172,PR026,AG002,AMBA,10,20336.38,0.1,203363.78,Transferencia,Completada
VT000092,2024-07-12,CL0139,PR024,AG007,Centro,1,43415.88,0.0,43415.88,Tarjeta de crédito,Completada
VT000093,2024-08-19,CL0079,PR010,AG004,AMBA,1,18625.56,0.0,18625.56,Efectivo,Completada
VT000094,2024-03-25,CL0467,PR023,AG004,AMBA,2,114498.69,0.0,228997.38,Transferencia,Completada
VT000095,2024-08-27,CL0090,PR029,AG006,Centro,2,3622.63,0.0,7245.27,Tarjeta de crédito,Completada
VT000096,2024-01-26,CL0064,PR029,AG005,Centro,2,3666.6,0.0,7333.2,Tarjeta de crédito,Completada
VT000097,2024-02-22,CL0096,PR026,AG003,AMBA,3,22962.09,0.0,68886.26,Transferencia,Completada
VT000098,2023-12-12,CL0384,PR002,AG006,Centro,1,275066.37,0.0,275066.37,Transferencia,Completada
VT000099,2023-01-26,CL0446,PR028,AG007,Centro,3,12461.16,0.0,37383.48,Transferencia,Completada
VT000100,2023-04-14,CL0405,PR023,AG001,AMBA,1,122032.15,0.0,122032.15,Transferencia,Completada
VT000101,2023-02-02,CL0283,PR012,AG005,Centro,1,187950.08,0.0,187950.08,Cheque,Completada
VT000102,2024-05-17,CL0496,PR007,AG001,AMBA,1,34750.3,0.0,34750.3,Transferencia,Completada
VT000103,2023-10-04,CL0042,PR005,AG002,AMBA,1,25195.35,0.0,25195.35,Transferencia,Completada
VT000104,2024-02-08,CL0436,PR002,AG006,Centro,1,267706.24,0.0,267706.24,Tarjeta de crédito,Completada
VT000105,2024-11-19,CL0210,PR026,AG012,Patagonia,10,19553.52,0.1,195535.19,Efectivo,Completada
VT000106,2023-08-11,CL0227,PR009,AG012,Patagonia,1,317040.43,0.0,317040.43,Tarjeta de crédito,Completada
VT000107,2023-12-04,CL0069,PR001,AG001,AMBA,1,428234.63,0.0,428234.63,Transferencia,Completada
VT000108,2024-08-14,CL0021,PR016,AG004,AMBA,10,7521.72,0.1,75217.16,Transferencia,Completada
VT000109,2023-07-25,CL0162,PR018,AG006,Centro,5,2544.26,0.05,12721.3,Efectivo,Completada
VT000110,2023-03-17,CL0088,PR006,AG002,AMBA,1,12490.55,0.0,12490.55,Tarjeta de crédito,Completada
VT000111,2023-09-15,CL0242,PR002,AG009,NOA,1,271523.25,0.0,271523.25,Cheque,Completada
VT000112,2023-05-29,CL0078,PR007,AG009,NOA,1,36256.81,0.0,36256.81,Tarjeta de crédito,Completada
VT000113,2024-11-29,CL0074,PR024,AG012,Patagonia,1,47137.82,0.0,47137.82,Transferencia,Completada
VT000114,2024-09-23,CL0442,PR003,AG001,AMBA,1,179657.84,0.0,179657.84,Tarjeta de crédito,Completada
VT000115,2024-05-16,CL0462,PR019,AG002,AMBA,3,4302.9,0.0,12908.71,Transferencia,Anulada
VT000116,2024-10-31,CL0480,PR006,AG010,NEA,1,12207.17,0.0,12207.17,Efectivo,Completada
VT000117,2024-09-19,CL0339,PR007,AG007,Centro,2,35079.07,0.0,70158.14,Tarjeta de crédito,Completada
VT000118,2023-06-19,CL0384,PR016,AG012,Patagonia,10,7842.85,0.1,78428.55,Transferencia,Completada
VT000119,2024-11-12,CL0420,PR004,AG001,AMBA,1,94065.22,0.0,94065.22,Tarjeta de crédito,Completada
VT000120,2024-03-07,CL0329,PR007,AG006,Centro,1,33716.98,0.0,33716.98,Transferencia,Completada
VT000121,2024-09-23,CL0167,PR015,AG006,Centro,2,95289.36,0.0,190578.72,Transferencia,Completada
VT000122,2024-11-13,CL0081,PR014,AG001,AMBA,2,76741.38,0.0,153482.76,Efectivo,Completada
VT000123,2023-10-06,CL0118,PR026,AG005,Centro,2,21783.0,0.0,43565.99,Transferencia,Completada
VT000124,2023-04-17,CL0423,PR003,AG006,Centro,1,172739.32,0.0,172739.32,Transferencia,Completada
VT000125,2023-07-24,CL0349,PR028,AG002,AMBA,10,10630.93,0.1,106309.26,Cheque,Completada
VT000126,2023-12-12,CL0227,PR027,AG003,AMBA,5,8475.17,0.05,42375.84,Transferencia,Completada
VT000127,2024-09-30,CL0019,PR026,AG007,Centro,3,21373.11,0.0,64119.32,Transferencia,Completada
VT000128,2024-10-24,CL0133,PR012,AG005,Centro,1,172086.77,0.0,172086.77,Tarjeta de crédito,Completada
VT000129,2023-01-09,CL0365,PR027,AG011,Patagonia,5,7908.2,0.05,39540.98,Cheque,Completada
VT000130,2024-02-12,CL0256,PR007,AG003,AMBA,1,35747.94,0.0,35747.94,Cheque,Completada
VT000131,2023-12-07,CL0214,PR005,AG002,AMBA,1,25251.17,0.0,25251.17,Efectivo,Completada
VT000132,2023-07-19,CL0161,PR002,AG015,AMBA,1,275356.28,0.0,275356.28,Transferencia,Completada
VT000133,2023-04-25,CL0306,PR029,AG013,Cuyo,3,3434.83,0.0,10304.48,Tarjeta de crédito,Completada
VT000134,2023-10-20,CL0482,PR012,AG001,AMBA,3,172314.73,0.0,516944.18,Tarjeta de crédito,Completada
VT000135,2024-12-05,CL0451,PR029,AG009,NOA,1,3467.24,0.0,3467.24,Transferencia,Completada
VT000136,2023-10-11,CL0019,PR010,AG001,AMBA,1,18438.71,0.0,18438.71,Transferencia,Completada
VT000137,2024-02-19,CL0241,PR029,AG001,AMBA,3,3416.5,0.0,10249.51,Tarjeta de crédito,Completada
VT000138,2024-07-04,CL0167,PR029,AG003,AMBA,3,3401.82,0.0,10205.46,Tarjeta de crédito,Completada
VT000139,2023-11-07,CL0255,PR029,AG003,AMBA,2,3523.79,0.0,7047.59,Cheque,Completada
VT000140,2024-12-18,CL0306,PR018,AG010,NEA,10,2487.46,0.1,24874.59,Cheque,Completada
VT000141,2024-12-13,CL0100,PR028,AG008,NOA,2,12338.15,0.0,24676.3,Cheque,Completada
VT000142,2023-08-15,CL0391,PR030,AG015,AMBA,1,4410.93,0.0,4410.93,Transferencia,Completada
VT000143,2024-01-30,CL0238,PR013,AG008,NOA,1,353523.16,0.0,353523.16,Cheque,Completada
VT000144,2023-09-25,CL0495,PR017,AG004,AMBA,2,3178.51,0.0,6357.03,Cheque,Completada
VT000145,2023-09-12,CL0016,PR026,AG008,NOA,3,22022.55,0.0,66067.65,Tarjeta de crédito,Completada
VT000146,2023-02-08,CL0094,PR012,AG015,AMBA,2,182923.17,0.0,365846.34,Transferencia,Completada
VT000147,2024-04-30,CL0345,PR026,AG008,NOA,3,21040.0,0.0,63120.0,Tarjeta de crédito,Completada
VT000148,2024-02-05,CL0349,PR003,AG009,NOA,1,186456.86,0.0,186456.86,Tarjeta de crédito,Completada
VT000149,2023-02-22,CL0293,PR019,AG013,Cuyo,5,4387.94,0.05,21939.69,Transferencia,Completada
VT000150,2023-09-06,CL0484,PR005,AG001,AMBA,3,25626.36,0.0,76879.08,Tarjeta de crédito,Completada
VT000151,2024-11-19,CL0205,PR011,AG008,NOA,2,121869.1,0.0,243738.2,Transferencia,Completada
VT000152,2023-08-03,CL0206,PR010,AG011,Patagonia,1,18823.13,0.0,18823.13,Transferencia,Anulada
VT000153,2023-05-16,CL0456,PR028,AG014,Cuyo,3,11666.49,0.0,34999.47,Transferencia,Anulada
VT000154,2024-01-23,CL0271,PR007,AG002,AMBA,1,36103.43,0.0,36103.43,Cheque,Anulada
VT000155,2024-12-25,CL0177,PR027,AG005,Centro,2,8110.21,0.0,16220.42,Transferencia,Completada
VT000156,2023-08-04,CL0359,PR027,AG008,NOA,3,8769.75,0.0,26309.24,Transferencia,Completada
VT000157,2024-06-12,CL0313,PR018,AG002,AMBA,3,2884.99,0.0,8654.98,Transferencia,Anulada
VT000158,2024-08-20,CL0156,PR009,AG006,Centro,2,331446.63,0.0,662893.26,Transferencia,Completada
VT000159,2023-08-02,CL0150,PR008,AG002,AMBA,1,152992.06,0.0,152992.06,Tarjeta de crédito,Completada
VT000160,2024-07-24,CL0197,PR018,AG003,AMBA,2,2687.92,0.0,5375.83,Cheque,Completada
VT000161,2023-11-09,CL0044,PR001,AG004,AMBA,1,427976.19,0.0,427976.19,Transferencia,Completada
VT000162,2024-05-15,CL0471,PR019,AG005,Centro,3,4320.94,0.0,12962.83,Cheque,Completada
VT000163,2024-05-16,CL0091,PR030,AG004,AMBA,1,4666.85,0.0,4666.85,Tarjeta de crédito,Completada
VT000164,2024-03-05,CL0097,PR006,AG005,Centro,1,12174.28,0.0,12174.28,Tarjeta de crédito,Completada
VT000165,2023-03-30,CL0325,PR020,AG003,AMBA,3,5947.95,0.0,17843.86,Transferencia,Completada
VT000166,2024-10-09,CL0362,PR030,AG002,AMBA,2,4470.46,0.0,8940.92,Cheque,Completada
VT000167,2023-10-10,CL0369,PR028,AG001,AMBA,3,11623.91,0.0,34871.72,Cheque,Completada
VT000168,2023-06-19,CL0188,PR028,AG002,AMBA,2,11993.7,0.0,23987.41,Tarjeta de crédito,Completada
VT000169,2023-02-13,CL0439,PR027,AG006,Centro,3,8771.56,0.0,26314.69,Transferencia,Completada
VT000170,2024-04-16,CL0273,PR012,AG010,NEA,3,177047.86,0.0,531143.57,Transferencia,Completada
VT000171,2024-06-17,CL0215,PR029,AG002,AMBA,3,3666.81,0.0,11000.42,Transferencia,Completada
VT000172,2023-01-18,CL0405,PR029,AG001,AMBA,10,3060.43,0.1,30604.33,Tarjeta de crédito,Completada
VT000173,2024-02-13,CL0120,PR018,AG009,NOA,2,2683.37,0.0,5366.75,Transferencia,Completada
VT000174,2023-07-21,CL0432,PR015,AG003,AMBA,2,93260.51,0.0,186521.01,Efectivo,Completada
VT000175,2024-05-24,CL0271,PR017,AG014,Cuyo,3,3285.81,0.0,9857.42,Tarjeta de crédito,Completada
VT000176,2023-06-08,CL0450,PR014,AG008,NOA,3,73690.23,0.0,221070.7,Tarjeta de crédito,Completada
VT000177,2024-06-26,CL0101,PR008,AG003,AMBA,1,155228.05,0.0,155228.05,Transferencia,Anulada
VT000178,2023-11-20,CL0469,PR021,AG003,AMBA,1,185795.97,0.0,185795.97,Tarjeta de crédito,Completada
VT000179,2024-12-03,CL0344,PR020,AG005,Centro,1,6247.15,0.0,6247.15,Transferencia,Completada
VT000180,2023-05-09,CL0312,PR018,AG001,AMBA,3,2707.64,0.0,8122.91,Cheque,Completada
VT000181,2023-10-24,CL0207,PR004,AG001,AMBA,1,98515.15,0.0,98515.15,Transferencia,Anulada
VT000182,2023-04-19,CL0477,PR027,AG002,AMBA,3,8226.35,0.0,24679.06,Transferencia,Completada
VT000183,2024-11-27,CL0219,PR007,AG009,NOA,1,36170.63,0.0,36170.63,Tarjeta de crédito,Completada
VT000184,2024-11-04,CL0252,PR005,AG005,Centro,1,23853.52,0.0,23853.52,Tarjeta de crédito,Completada
VT000185,2023-08-18,CL0391,PR021,AG001,AMBA,1,175148.8,0.0,175148.8,Transferencia,Completada
VT000186,2024-06-04,CL0143,PR016,AG007,Centro,1,8439.37,0.0,8439.37,Cheque,Completada
VT000187,2024-09-30,CL0148,PR003,AG004,AMBA,1,183788.25,0.0,183788.25,Tarjeta de crédito,Completada
VT000188,2024-03-19,CL0387,PR015,AG005,Centro,2,93063.9,0.0,186127.8,Transferencia,Completada
VT000189,2024-02-28,CL0069,PR027,AG002,AMBA,5,8136.76,0.05,40683.82,Transferencia,Completada
VT000190,2023-08-04,CL0412,PR021,AG006,Centro,2,179604.1,0.0,359208.2,Tarjeta de crédito,Completada
VT000191,2023-04-03,CL0315,PR016,AG015,AMBA,2,8614.45,0.0,17228.91,Transferencia,Completada
VT000192,2024-11-13,CL0271,PR007,AG001,AMBA,1,36621.01,0.0,36621.01,Transferencia,Completada
VT000193,2024-11-14,CL0115,PR022,AG003,AMBA,2,256408.05,0.0,512816.09,Transferencia,Completada
VT000194,2024-05-16,CL0394,PR029,AG002,AMBA,5,3191.19,0.05,15955.94,Transferencia,Completada
VT000195,2023-10-23,CL0403,PR022,AG002,AMBA,1,253785.38,0.0,253785.38,Tarjeta de crédito,Completada
VT000196,2023-10-30,CL0242,PR027,AG003,AMBA,2,8652.58,0.0,17305.15,Transferencia,Completada
VT000197,2024-07-23,CL0194,PR019,AG010,NEA,10,3958.85,0.1,39588.47,Tarjeta de crédito,Completada
VT000198,2024-11-13,CL0121,PR026,AG013,Cuyo,2,22842.95,0.0,45685.9,Transferencia,Completada
VT000199,2024-11-08,CL0377,PR029,AG002,AMBA,1,3414.51,0.0,3414.51,Tarjeta de crédito,Completada
VT000200,2024-09-03,CL0321,PR027,AG005,Centro,3,8646.42,0.0,25939.26,Cheque,Completada
VT000201,2024-05-22,CL0103,PR029,AG007,Centro,20,2936.57,0.15,58731.37,Efectivo,Completada
VT000202,2023-03-24,CL0397,PR017,AG005,Centro,10,2841.63,0.1,28416.31,Transferencia,Completada
VT000203,2023-05-30,CL0444,PR029,AG004,AMBA,5,3213.73,0.05,16068.67,Tarjeta de crédito,Completada
VT000204,2024-11-14,CL0039,PR021,AG002,AMBA,1,186682.92,0.0,186682.92,Tarjeta de crédito,Completada
VT000205,2024-04-26,CL0385,PR028,AG005,Centro,2,11526.24,0.0,23052.49,Transferencia,Completada
VT000206,2023-01-10,CL0427,PR002,AG004,AMBA,1,278306.97,0.0,278306.97,Transferencia,Completada
VT000207,2023-04-10,CL0495,PR023,AG010,NEA,1,124867.38,0.0,124867.38,Tarjeta de crédito,Completada
VT000208,2024-06-06,CL0118,PR028,AG009,NOA,5,11225.78,0.05,56128.89,Efectivo,Completada
VT000209,2023-01-05,CL0185,PR007,AG001,AMBA,3,33731.48,0.0,101194.45,Transferencia,Completada
VT000210,2023-05-29,CL0481,PR023,AG001,AMBA,2,116767.5,0.0,233535.0,Cheque,Completada
VT000211,2024-03-14,CL0053,PR027,AG013,Cuyo,2,8498.44,0.0,16996.88,Tarjeta de crédito,Anulada
VT000212,2024-06-26,CL0262,PR011,AG005,Centro,2,122285.56,0.0,244571.11,Transferencia,Completada
VT000213,2024-05-29,CL0254,PR016,AG011,Patagonia,1,8318.83,0.0,8318.83,Cheque,Completada
VT000214,2023-07-20,CL0306,PR020,AG001,AMBA,5,5922.15,0.05,29610.74,Cheque,Completada
VT000215,2024-07-11,CL0167,PR019,AG005,Centro,5,4174.91,0.05,20874.57,Tarjeta de crédito,Completada
VT000216,2023-08-01,CL0465,PR002,AG005,Centro,1,284132.14,0.0,284132.14,Transferencia,Completada
VT000217,2023-10-12,CL0136,PR004,AG011,Patagonia,1,95426.62,0.0,95426.62,Cheque,Completada
VT000218,2024-08-07,CL0327,PR004,AG001,AMBA,1,93448.16,0.0,93448.16,Transferencia,Completada
VT000219,2024-05-28,CL0250,PR010,AG002,AMBA,1,18245.19,0.0,18245.19,Transferencia,Completada
VT000220,2024-10-17,CL0134,PR009,AG004,AMBA,3,317705.77,0.0,953117.3,Efectivo,Completada
VT000221,2024-06-03,CL0094,PR026,AG011,Patagonia,3,21246.51,0.0,63739.52,Cheque,Completada
VT000222,2024-03-29,CL0477,PR020,AG013,Cuyo,3,5721.65,0.0,17164.95,Transferencia,Completada
VT000223,2023-04-03,CL0282,PR026,AG015,AMBA,1,21276.74,0.0,21276.74,Transferencia,Completada
VT000224,2023-11-09,CL0305,PR003,AG014,Cuyo,1,181211.3,0.0,181211.3,Cheque,Completada
VT000225,2023-08-25,CL0392,PR018,AG001,AMBA,5,2650.53,0.05,13252.65,Tarjeta de crédito,Completada
VT000226,2023-08-08,CL0046,PR013,AG001,AMBA,1,338154.46,0.0,338154.46,Cheque,Completada
VT000227,2024-12-19,CL0357,PR028,AG002,AMBA,5,10834.16,0.05,54170.82,Transferencia,Completada
VT000228,2023-11-23,CL0086,PR025,AG003,AMBA,1,27127.31,0.0,27127.31,Efectivo,Completada
VT000229,2024-11-11,CL0371,PR028,AG011,Patagonia,5,11597.67,0.05,57988.33,Transferencia,Completada
VT000230,2024-05-15,CL0076,PR002,AG012,Patagonia,2,270160.18,0.0,540320.36,Tarjeta de crédito,Completada
VT000231,2024-09-12,CL0417,PR026,AG002,AMBA,5,21298.97,0.05,106494.84,Tarjeta de crédito,Completada
VT000232,2024-02-05,CL0339,PR019,AG007,Centro,1,4417.92,0.0,4417.92,Cheque,Completada
VT000233,2024-04-04,CL0193,PR027,AG013,Cuyo,1,8654.19,0.0,8654.19,Cheque,Completada
VT000234,2024-01-25,CL0179,PR019,AG005,Centro,2,4394.1,0.0,8788.19,Cheque,Completada
VT000235,2023-06-26,CL0079,PR019,AG001,AMBA,1,4492.71,0.0,4492.71,Tarjeta de crédito,Completada
VT000236,2024-07-19,CL0453,PR002,AG004,AMBA,1,289676.58,0.0,289676.58,Cheque,Completada
VT000237,2023-09-07,CL0064,PR023,AG003,AMBA,1,114739.68,0.0,114739.68,Transferencia,Completada
VT000238,2023-01-25,CL0236,PR010,AG006,Centro,1,18750.48,0.0,18750.48,Transferencia,Completada
VT000239,2024-05-24,CL0118,PR001,AG004,AMBA,2,431263.37,0.0,862526.75,Tarjeta de crédito,Completada
VT000240,2023-06-12,CL0498,PR003,AG001,AMBA,1,180378.66,0.0,180378.66,Cheque,Completada
VT000241,2024-12-04,CL0295,PR030,AG015,AMBA,1,4512.89,0.0,4512.89,Efectivo,Completada
VT000242,2024-12-11,CL0079,PR015,AG005,Centro,1,95839.9,0.0,95839.9,Tarjeta de crédito,Completada
VT000243,2024-11-22,CL0332,PR028,AG005,Centro,10,10556.59,0.1,105565.89,Tarjeta de crédito,Completada
